Wyoming Species List,,,,,,,,,,,,,,,
Scientific Name,Common Name,Synonyms,Major Taxonomic Group,Minor Taxonomic Group,BLM Wyoming Sensitive Species List,Heritage Global Rank (G Rank),Heritage State Rank (S Rank),USFWS Endangered Species Act,USFS Sensitive Species List,USFS Species of Local Concern,WGFD Species of Greatest Conservation Need (SGCN),WYNDD Wyoming Contribution Rank,WYNDD Species of Concern,Statewide Occurrence,Statewide Origin
Acroloxus coloradensis,Rocky Mountain Capshell,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G3G4,S1,,,,SGCN,,SOC,Regular,Native
Amnicola limosus,No Common Name Available,Amnicola limosa,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,SOC,Regular,Native
Anodonta californiensis,California Floater,,Invertebrate Animals,Bivalvia (Mussels and Clams),,G3,S2,,,,SGCN,,SOC,Regular,Native
Anodontoides ferussacianus,Cylindrical Papershell,,Invertebrate Animals,Bivalvia (Mussels and Clams),,G5,S3,,,,SGCN,,SOC,Regular,Native
Aplexa elongata,Lance Aplexa,"Sibirenauta elgonataus, Sibirenauta elongata",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,SOC,Regular,Native
Branchinecta coloradensis,Colorado Fairy Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G5,SNR,,,,SGCN,,SOC,Regular,Native
Branchinecta constricta,Constricted Fairy Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G1,S1,,,,SGCN,,SOC,Regular,Native
Branchinecta lateralis,Pocket Pouch Fairy Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G4,S5,,,,SGCN,,SOC,Regular,Native
Branchinecta lindahli,Versatile Fairy Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G5,S4,,,,SGCN,,SOC,Regular,Native
Branchinecta packardi,Rock Pool Fairy Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G5,SNR,,,,SGCN,,SOC,Regular,Native
Branchinecta paludosa,Circumpolar Fairy Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G5,S4,,,,SGCN,,SOC,Regular,Native
Branchinecta readingi,Eastern Alkali Fairy Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G4,SNR,,,,SGCN,,SOPC,Regular,Native
Branchinecta serrata,a fairy shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G1,S1,,,,SGCN,,SOC,Regular,Native
Cochlicopa lubrica,Glossy Pillar Snail,Cionella lubrica,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Cochlicopa lubricella,Thin Pillar Snail,Cionella lubricella,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Colligyrus greggi,Rocky Mountain Duskysnail,"Amnicola greggi, Lyogyrus greggi",Invertebrate Animals,Gastropoda (Snails and Slugs),,G4,SU,,,,SGCN,,SOC,Regular,Native
Columella columella,Mellow Column Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Columella columella alticola,Mellow Column Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5T5,SNA,,,,SGCN,,,Regular,Native
Columella edentula,Toothless Column Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Cryptomastix mullani,Coeur d'Alene Oregonian Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G4,SNR,,,,SGCN,,,Regular,Native
Cryptomastix mullani mullani,Oregonian,Helix mullani,Invertebrate Animals,Gastropoda (Snails and Slugs),,G4TNR,SNR,,,,SGCN,,,Regular,Native
Cyzicus belfragei,Great Plains Clam Shrimp,Caenestheriella belfragei,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G4Q,SNR,,,,SGCN,,,Regular,Native
Cyzicus californicus,California Clam Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G2G3Q,SNR,,,,SGCN,,,Regular,Native
Deroceras laeve,Meadow Slug,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Deroceras reticulatum ,Gray Fieldslug ,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNA,,,,SGCN,,,Regular,Nonnative
Discus catskillensis,Angular Disc Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Discus shimekii,Striate Disc Snail,Zonites shimeki,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,BlkHlNF,SGCN,,SOC,Regular,Native
Discus whitneyi,Forest Disc Snail,Discus cronkhitei,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Elimia cahawbensis,Cahaba Elimia,Oxytrema cahawbensis,Invertebrate Animals,Gastropoda (Snails and Slugs),,G4,SNR,,,,SGCN,,,Regular,Native
Eubranchipus intricatus,Smoothlip Fairy Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G4,SNR,,,,SGCN,,,Regular,Native
Euconulus fulvus,Brown Hive Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Eulimnadia diversa,Diversity Clam Shrimp,"Eulimnadia alineata, Eulimnadia francesae, Eulimnadia inflecta, Eulimnadia oryzae, Eulimnadia thompsoni, Eulimnadia ventricosa",Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G5,S5,,,,SGCN,,SOC,Regular,Native
Faxonius immunis,Calico Crayfish,Orconectes immunis,Invertebrate Animals,"Malacostraca (Crayfish, Scuds and Sow Bugs)",,G5,SNR,,,,SGCN,,,Regular,Native
Faxonius neglectus,Ringed Crayfish,"Orconectes neglectus, Orconectes transfuga",Invertebrate Animals,"Malacostraca (Crayfish, Scuds and Sow Bugs)",,G5,S3,,,,SGCN,,SOC,Regular,Native
Ferrissia fragilis,Fragile Ancylid,Ferrissia californica,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,SOPC,Regular,Native
Ferrissia rivularis,Creeping Ancylid,"Ferrissia parallela, Ferrissia parallelus",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S4,,,,SGCN,,SOC,Regular,Native
Fisherola nuttalli,Shortface Lanx,"Fisherola nuttallii, Lanx nuttallii",Invertebrate Animals,Gastropoda (Snails and Slugs),,G2,SNR,,,,SGCN,,,Regular,Native
Fluminicola coloradoensis,Green River Pebblesnail,Fluminicola coloradensis,Invertebrate Animals,Gastropoda (Snails and Slugs),,G3G4,S4,,,,SGCN,,SOC,Regular,Native
Fluminicola nuttallianus,Dusky Pebblesnail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,GH,SNR,,,,SGCN,,,Regular,Native
Galba bulimoides,Prairie Fossaria,"Bakerilymnaea bulimoides, Fossaria bulimoides, Lymnaea bulimoides, Stagnicola bulimoides",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Galba dalli,Dusky Fossaria,"Bakerilymnaea dalli, Fossaria dalli, Lymnaea dalli, Lymnaea humilis",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,,Regular,Native
Galba humilis,Marsh Fossaria,"Fossaria humilis, Synechymnaea humilis",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Galba modicella,Rock Fossaria,Fossaria modicella,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,SOC,Regular,Native
Galba obrussa,Golden Fossaria,"Fossaria obrussa, Lymnaea obrussa",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,SOC,Regular,Native
Galba parva,Pygmy Fossaria,"Fossaria parva, Lymnaea parva",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,SOC,Regular,Native
Gastrocopta abbreviata,Plains Snaggletooth Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G4,SNR,,,,SGCN,,,Regular,Native
Gastrocopta armifera,Armed Snaggletooth Snail,Gastrocopta armifera armifera,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Gastrocopta pentodon,Comb Snaggletooth Snail,Gastrocopta carnegiei,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Gastrocopta procera,Wing Snaggletooth Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Gastrocopta similis,Great Lakes Snaggletooth Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Gyraulus circumstriatus,Disc Gyro,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,SOC,Regular,Native
Gyraulus crista,Star Gyro,Armiger crista,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,SOC,Regular,Native
Gyraulus deflectus,Flexed Gyro,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Gyraulus parvus,Ash Gyro,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S4,,,,SGCN,,SOC,Regular,Native
Gyraulus vermicularis,Pacific Coast Gyraulus,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G4Q,SNR,,,,SGCN,,,Regular,Native
Hawaiia minuscula,Minute Gem Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Helisoma anceps,Two-ridged Ramshorn,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,SOC,Regular,Native
Helisoma anceps anceps,Two-ridged Ramshorn,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5T5,S3,,,,SGCN,,SOC,Regular,Native
Helisoma newberryi,Great Basin Ramshorn,Helisoma jacksonense,Invertebrate Animals,Gastropoda (Snails and Slugs),,G1,S1,NW,,,SGCN,,SOC,Regular,Native
Hinkleyia caperata,Wrinkled Marshsnail,"Lymnaea caperata, Lymnaeus caperatus, Stagnicola caperata",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Holopedium gibberum,a water flea,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,GNR,SNR,,,,SGCN,,,Regular,Native
Lacunicambarus nebrascensis,Great Plains Mudbug,,Invertebrate Animals,"Malacostraca (Crayfish, Scuds and Sow Bugs)",,GNR,SNR,,,,SGCN,,SOC,Regular,Native
Ladislavella apicina,Abbreviate Pondsnail,Stagnicola apicina,Invertebrate Animals,Gastropoda (Snails and Slugs),,GU,SNR,,,,SGCN,,SOPC,Regular,Native
Ladislavella catascopium,Woodland Pondsnail,"Lymnaea catascopium, Lymnaea jacksonensis, Stagnicola catascopium",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,,Regular,Native
Ladislavella elodes,Marsh Pondsnail,"Limnaea parvula, Lymnaea elodes, Lymnaea palustris, Lymnaea parvula, Lymneus elodes, Stagnicola elodes, Stagnicola palustris, Stagnicola reflexa",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,,Regular,Native
Ladislavella emarginata,St. Lawrence Pondsnail,"Lymnaea emarginatus, Stagnicola emarginata",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Ladislavella hinkleyi,Rustic Pondsnail,Stagnicola hinkleyi,Invertebrate Animals,Gastropoda (Snails and Slugs),,G2,S3,,,,SGCN,,SOC,Regular,Native
Lampsilis cardium,Plain Pocketbook,"Lampsilis cohongoronta, Lampsilis ovata ventricosa, Lampsilis ventricosa",Invertebrate Animals,Bivalvia (Mussels and Clams),,G5,S3,,,,SGCN,,SOC,Regular,Native
Lepidurus bilobatus,Great Basin Tadpole Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G2G3,S4,,,,SGCN,,SOC,Regular,Native
Lepidurus couesii,Couse Tadpole Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G4,S3,,,,SGCN,,SOC,Regular,Native
Lepidurus lemmoni,Lynch Tadpole Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G4,SNR,,,,SGCN,,SOC,Regular,Native
Leptestheria compleximanus,Spineynose Clam Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G5,SNR,,,,SGCN,,SOC,Regular,Native
Lymnaea stagnalis,Swamp Lymnaea,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,SOC,Regular,Native
Lynceus brachyurus,Holarctic Clam Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G5,SNR,,,,SGCN,,SOC,Regular,Native
Lynceus brevifrons,Short Finger Clam Shrimp,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,G4,SNR,,,,SGCN,,SOC,Regular,Native
Macrothrix montana,a water flea,,Invertebrate Animals,"Branchiopoda (Fairy Shrimp, Clam Shrimp, Water Fleas, and Tadpole Shrimp)",,GNR,SNR,,,,SGCN,,,Regular,Native
Mediappendix rehderi,Chrome Ambersnail,Catinella rehderi,Invertebrate Animals,Gastropoda (Snails and Slugs),,G3,SNR,,,,SGCN,,,Regular,Native
Mediappendix stretchiana,Sierra Ambersnail,"Catinella stretchiana, Succinea stretchiana",Invertebrate Animals,Gastropoda (Snails and Slugs),,G3,S3,,,,SGCN,,SOC,Regular,Native
Mediappendix vermeta,No Common Name Available,"Catinella avara, Catinella vermeta, Succinea avara",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Menetus opercularis,Button Sprite,"Menetus callioglyptus, Planorbis opercularis",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Microphysula ingersollii,Spruce Snail,Microphysula ingersolli,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
